WordID,TestID,Word,LanguageCode,WordPhonetic,Description,Image
181,11,norsu,fi,,elephant,
182,11,kirahvi,fi,,giraffe,
183,11,seepra,fi,,zebra,
184,11,leijona,fi,,lion,
185,11,tiikeri,fi,,tiger,
186,11,virtahepo,fi,,hippo,
187,11,sarvikuono,fi,,rhino,
188,11,apina,fi,,monkey,
189,11,gorilla,fi,,gorilla,
190,11,antilooppi,fi,,antelope,
191,11,krokotiili,fi,,crocodile,
192,11,hyeena,fi,,hyena,
193,11,strutsi,fi,,ostrich,
194,11,gepardi,fi,,cheetah,
195,11,kameli,fi,,camel,
196,12,numerot,fi,,number,
197,12,nolla,fi,,zero,
198,12,yksi,fi,,one,
199,12,kaksi,fi,,two,
200,12,kolme,fi,,three,
201,12,neljä,fi,,four,
202,12,viisi,fi,,five,
203,12,kuusi,fi,,six,
204,12,seitsemän,fi,,seven,
205,12,kahdeksan,fi,,eight,
206,12,yhdeksän,fi,,nine,
207,12,kymmenen,fi,,ten,
208,13,yksitoista,fi,,11,
209,13,kaksitoista,fi,,12,
210,13,kolmetoista,fi,,13,
211,13,neljatoista,fi,,14,
212,13,viisitoista,fi,,15,
213,13,kuusitoista,fi,,16,
214,13,seitsemäntoista,fi,,17,
215,13,kahdeksantoista,fi,,18,
216,13,yhdeksäntoista,fi,,19,
217,13,kaksikymmentä,fi,,20,
218,13,kaksikymmentäviisi,fi,,25,
219,14,rahat,fi,,money,
220,14,kolikko,fi,,coin,
221,14,lompakko,fi,,wallet,
222,14,kymmenen,fi,,10,
223,14,kaksikymmentä,fi,,20,
224,14,kolmekymmentä,fi,,30,
225,14,neljäkymmentä,fi,,40,
226,14,viisikymmentä,fi,,50,
227,14,kuusikymmentä,fi,,60,
228,14,seitsemänkymmentä,fi,,70,
229,14,kahdeksankymmentä,fi,,80,
230,14,yhdeksankymmentä,fi,,90,
231,14,sata,fi,,100,
232,14,tuhat,fi,,`1.000,
233,14,kymmenentuhatta,fi,,`10.000,
234,14,satatuhatta,fi,,`100.000,
235,14,miljoona,fi,,`1.000.000,
236,14,miljardi,fi,,1 billion,
237,15,järjestysluvut,fi,,số thứ tự,
238,15,ensimmäinen,fi,,first,
239,15,toinen,fi,,second,
240,15,kolmas,fi,,third,
241,15,neljäs,fi,,fourth,
242,15,viides,fi,,fifth,
243,15,kuudes,fi,,sixth,
244,15,seitsemäs,fi,,seventh,
245,15,kahdeksas,fi,,eighth,
246,15,yhdeksäs,fi,,ninth,
247,15,kymmenes,fi,,tenth,
248,15,yhdestoista,fi,,eleventh,
249,15,kahdestoista,fi,,twelfth,
250,15,kuudestoista,fi,,the sixteenth,
251,15,kahdeksastoista,fi,,the eighteenth,
252,15,kahdeskymmenes,fi,,twentieth,
253,15,kahdeskymmenesensimmäinen,fi,,twenty-first,
254,15,kaksikymmeneskuudes,fi,,the twenty-sixth,
255,15,kolmaskymmenesyhdeksäs,fi,,the thirty-ninth,
256,16,Soitin,fi,,Instrument,
257,16,jousisoittimet,fi,,String instruments,
258,16,jousi,fi,,cây kéo đàn violon,
259,16,kieli,fi,,dây đàn,
260,16,viulu,fi,,violin,
261,16,sello,fi,,đàn cello,
262,16,rummut,fi,,drums,
263,16,tamburini,fi,,tambourine,
264,16,triangeli,fi,,triangle / khánh,
287,18,kasvot,fi,mặt, face,
288,18,hiukset,fi,tóc,hair,
289,18,otsa,fi,trán, forehead,
290,18,kulmakarvat,fi,lông mày,eyebrows,
291,18,ripset,fi,lông mi,eyelashes,
292,18,silmä,fi,cái mắt,eye,
293,18,silmät,fi,2 mắt, eyes,
294,18,korva,fi,cái tai,ear,
295,18,korvat,fi,2 tai, ears,
296,18,nenä,fi,mũi, nose,
297,18,poski,fi,má,cheek,
298,18,posket,fi,hai má, cheeks,
299,18,pisamat,fi,tàn nhang,freckles,
300,18,suu,fi,miệng, mouth,
301,18,hammas,fi,cái răng,tooth,
302,18,hampaat,fi,hàm răng,teeth,
303,18,huulet,fi,môi,lips,
304,18,kieli,fi,lưỡi,tongue,
305,18,leuka,fi,"hàm, cằm"," jaw, chin",
306,18,parta,fi,râu,beard,
307,18,viikset,fi,ria mép,mustache,
308,19,flunssa,fi,,cảm,
309,19,oire,fi,,triệu chứng,
310,19,Mitä oireita sinulla on?,fi,,Triệu chứng của bạn là gì?,
311,19,minä olen sairas,fi,,tôi bị bệnh,
312,19,onko sinulla ahoh kipeä?,fi,,bạn có bị đau ahoh không?,
313,19,nuha,fi,,sổ mũi,
314,19,yskä,fi,,cái ho,
315,19,yskiä,fi,,ho,
316,19,kuume,fi,,sốt,
317,19,päänsärky,fi,,đau đầu,
318,19,kurkkukipu,fi,,đau họng,
319,19,vatsakipu,fi,,đau bụng,
320,19,kipu,fi,,đau,
321,19,aivastaa,fi,,hắt hơi,
322,19,sairaus,fi,,bệnh,
323,19,sairas,fi,,đau ốm,
324,19,haava,fi,,chảy máu,
325,19,allegria,fi,,dị ứng,
326,19,ihottuma,fi,,phát ban,
327,19,potilas,fi,,bệnh nhân,
328,19,resepti,fi,,toa thuốc,
329,19,lääke,fi,,thuốc,
330,19,kuumemittari,fi,,nhiệt kế,
265,17,pää,fi,cái đầu,head,
266,17,hiukset,fi,tóc,hair,
267,17,kasvot,fi,mặt,face,
268,17,kaula,fi,cổ,neck,
269,17,olkapää,fi,vai,shoulder,
270,17,selkä,fi,lưng,back,
271,17,rinta,fi,ngực,chest,
272,17,vatsa,fi,bụng,belly,
273,17,vyötärö,fi,eo,waist,
274,17,peppu,fi,đít,bottom,
275,17,käsi,fi,bàn tay,hand,
276,17,kyynärpää,fi,khuỷu tay,elbow,
277,17,ranne,fi,cổ tay,wrist,
278,17,sormi,fi,ngón tay,finger,
279,17,sääri,fi,chân,leg,
280,17,reisi,fi,đùi,thigh,
281,17,polvi,fi,đầu gối,knee,
282,17,pohje,fi,bắp chân,calve,
283,17,nilkka,fi,mắt cá chân,ankle,
284,17,jalka,fi,bàn chân,foot,
285,17,kantapää,fi,gót chân,heel,
286,17,varvas,fi,ngón chân,toe,
331,20,kävellä,fi,,to walk,
332,20,Minä kävelen puistossa,fi,,I walk in the park,
333,20,Sinä kävelet kouluun,fi,,You walk to school,
334,20,Hän kävelee hitaasti,fi,,He/She walks slowly,
335,20,Me kävelemme yhdessä,fi,,We walk together,
336,20,Te kävelette kauppaan,fi,,You all walk to the store,
337,20,He kävelevät rannalla,fi,,They walk on the beach,
338,20,juosta,fi,,to run,
339,20,Minä juoksen nopeasti,fi,,I run fast,
340,20,Sinä juokset joka aamu,fi,,You run every morning,
341,20,Hän juoksee maratonin,fi,,He/She runs a marathon,
342,20,Me juoksemme puistossa,fi,,We run in the park,
343,20,Te juoksette kilpaa,fi,,You all run a race,
344,20,He juoksevat stadionilla,fi,,They run in the stadium,
345,21,oikea puoli,fi,,right side,https://kuha.papunet.net/api/image/3004?lang=fi
346,21,vasen puoli,fi,,left side,https://kuha.papunet.net/api/image/3003?lang=fi
347,21,oikealla puolella,fi,,on the right side,https://kuha.papunet.net/api/image/15388?lang=fi
348,21,vasemmalla puolella,fi,,on the left side,https://kuha.papunet.net/api/image/15384?lang=fi
349,21,päällä,fi,,on top,https://kuha.papunet.net/api/image/3036?lang=fi
350,21,alla,fi,,underneath,https://kuha.papunet.net/api/image/3041?lang=fi
351,21,edessä,fi,,in front,https://kuha.papunet.net/api/image/3040?lang=fi
352,21,takana,fi,,behind,https://kuha.papunet.net/api/image/3035?lang=fi
353,21,Taulu on oikealla puolella luokkaa,fi,,The board is on the right side of the classroom,
354,21,Ikkuna on vasemmalla puolella luokkaa,fi,,The window is on the left side of the classroom,
355,21,Kirja on pöydän päällä,fi,,The book is on top of the desk,
356,21,Reppu on tuolin alla,fi,,The backpack is under the chair,
357,21,Opettaja seisoo oppilaiden edessä,fi,,The teacher is standing in front of the students,
358,21,Kaappi on pöydän takana,fi,,The cabinet is behind the desk,
359,22,lyhyet hiukset,fi,tóc ngắn,short hair,
360,22,pitkät hiukset,fi,tóc dài,long hair,
361,22,suorat hiukset,fi,tóc thẳng,straight hair,
362,22,ponnari,fi,tóc đuôi ngựa,bouncer,
363,22,otsatukka,fi,tóc mái,bangs/fringe,
364,22,kiharat hiukset,fi,tóc xoăn,curly hair,
365,22,kalju,fi,hói,bald,
366,22,vaaleat hiukset,fi,tóc vàng,blond hair,
367,22,ruskeat silmät,fi,mắt nâu,brown eyes,
368,22,vihreät silmät,fi,mắt xanh lá cây,green eyes,
369,22,siniset silmät,fi,mắt xanh dương,blue eyes,
370,23,seisoo,fi,đứng,to stand,
371,23,kävelee,fi,đi bộ,to walk,
372,23,jouksee,fi,chạy bộ,to run,
373,23,konttaa,fi,bò,to crawl,
374,23,tulee,fi,đến,to come,
375,23,menee,fi,đi đến,to go,
376,23,makaa,fi,nằm xuống,to lie down,
377,23,nukkuu,fi,ngủ,to sleep,
378,23,ottaa,fi,lấy,to take,
379,23,antaa,fi,đưa,to give,
380,23,istuu,fi,ngồi,to sit,
381,23,syö,fi,ăn,to eat,
382,23,juo,fi,uốn,to drink,
383,23,pesee,fi,rữa,to wash,
384,23,kuivaa,fi,lau,to dry,
385,24,Hän on torilla,fi,,Anh ấy đang ở quảng trường.,
386,24,Hän tuli torilta,fi,,Anh ấy đến từ quảng trường.,
387,24,Hän menee torille,fi,,Anh ấy đang đi đến quảng trường.,
388,24,Kirja on pöydällä,fi,,Quyển sách nằm trên bàn.,
389,24,Hän otti kirjan pöydältä,fi,,Anh ấy đã lấy quyển sách từ trên bàn.,
390,24,Hän laittoi kirjan pöydälle,fi,,Anh ấy đã đặt quyển sách lên bàn.,
391,24,Auto on kadulla,fi,,Chiếc xe đang trên đường.,
392,24,Auto lähti kadulta,fi,,Chiếc xe rời khỏi đường.,
393,24,Auto ajaa kadulle,fi,,Chiếc xe đang lái vào đường.,
394,24,Kissa on sohvalla,fi,,Con mèo đang ở trên ghế sofa.,
395,24,Kissa hyppäsi sohvalta,fi,,Con mèo nhảy xuống từ ghế sofa.,
396,24,Kissa hyppäsi sohvalle,fi,,Con mèo nhảy lên ghế sofa.,
397,24,Me istumme puistossa,fi,,Chúng tôi đang ngồi trong công viên.,
398,24,Me tulimme puistosta,fi,,Chúng tôi đã đến từ công viên.,
399,24,Me menemme puistoon,fi,,Chúng tôi đang đi đến công viên.,
400,24,Lintu on katolla,fi,,Con chim đang trên mái nhà.,
401,24,Lintu lensi katolta,fi,,Con chim bay từ mái nhà xuống.,
402,24,Lintu lensi katolle,fi,,Con chim bay lên mái nhà.,
403,24,Hän on asemalla,fi,,Anh ấy đang ở nhà ga.,
404,24,Hän lähti asemalta,fi,,Anh ấy đã rời khỏi nhà ga.,
405,24,Hän menee asemalle,fi,,Anh ấy đang đi đến nhà ga.,
406,24,Kynä on lattialla,fi,,Cây bút đang trên sàn nhà.,
407,24,Hän otti kynän lattialta,fi,,Anh ấy đã nhặt cây bút từ sàn nhà.,
408,24,Hän pudotti kynän lattialle,fi,,Anh ấy đã làm rơi cây bút xuống sàn nhà.,
409,24,Ruoka on pöydällä,fi,,Đồ ăn đang trên bàn.,
410,24,Hän otti ruoan pöydältä,fi,,Anh ấy đã lấy đồ ăn từ trên bàn.,
411,24,Hän laittoi ruoan pöydälle,fi,,Anh ấy đã đặt đồ ăn lên bàn.,
412,24,Lapset leikkivät rannalla,fi,,Những đứa trẻ đang chơi trên bãi biển.,
413,24,Lapset tulivat rannalta,fi,,Những đứa trẻ đã trở về từ bãi biển.,
414,24,Lapset juoksivat rannalle,fi,,Những đứa trẻ đã chạy ra bãi biển.,
